Entity,Code,Year,Other cancers (deaths),Gallbladder cancer (deaths),Larynx cancer (deaths),Other pharynx cancer (deaths),Kidney cancer (deaths),Ovarian cancer (deaths),Lip and oral cavity cancer (deaths),Bladder cancer (deaths),Brain and nervous system cancer (deaths),Non-Hodgkin lymphoma (deaths),Cervical cancer (deaths),Leukemia (deaths),Prostate cancer (deaths),Pancreatic cancer (deaths),Esophageal cancer (deaths),Breast cancer (deaths),Liver cancer (deaths),Colon and rectum cancer (deaths),Stomach cancer (deaths),"Tracheal, bronchus, and lung cancer (deaths)"
Australia,AUS,1990,3528,227,242,293,629,691,415,724,899,1174,436,1705,2051,1409,783,2427,391,4361,1511,6190
Australia,AUS,1991,3620,229,243,300,661,699,425,732,913,1220,434,1738,2166,1438,808,2469,414,4420,1501,6252
Australia,AUS,1992,3748,232,246,304,687,706,432,745,933,1265,430,1778,2309,1476,835,2510,443,4500,1502,6361
Australia,AUS,1993,3853,233,243,306,708,718,434,758,942,1302,425,1798,2448,1507,859,2562,470,4551,1495,6438
Australia,AUS,1994,3971,236,242,306,728,729,440,768,963,1342,426,1834,2548,1541,887,2629,499,4631,1501,6572
Australia,AUS,1995,4073,236,240,307,748,739,448,782,977,1376,416,1848,2581,1577,908,2653,524,4662,1498,6626
Australia,AUS,1996,4180,245,242,312,767,755,454,792,996,1413,406,1868,2593,1624,937,2669,559,4733,1496,6725
Australia,AUS,1997,4262,252,240,315,782,762,457,809,1015,1451,395,1868,2576,1663,959,2680,599,4763,1492,6757
Australia,AUS,1998,4332,260,235,313,799,775,463,823,1026,1470,384,1886,2580,1705,980,2674,631,4770,1477,6775
Australia,AUS,1999,4413,273,233,313,812,785,464,842,1043,1482,373,1889,2594,1750,1001,2661,677,4788,1472,6806
Australia,AUS,2000,4521,279,233,312,824,800,468,859,1064,1495,370,1881,2642,1795,1021,2670,722,4807,1467,6876
Australia,AUS,2001,4658,282,233,313,843,817,468,884,1081,1501,368,1871,2711,1849,1051,2699,772,4850,1477,6970
Australia,AUS,2002,4801,298,232,310,857,833,468,902,1105,1513,364,1859,2787,1907,1081,2730,821,4874,1502,7083
Australia,AUS,2003,4915,301,231,300,864,836,459,909,1113,1514,368,1781,2855,1976,1118,2732,870,4876,1513,7130
Australia,AUS,2004,5048,315,231,294,883,854,454,924,1122,1516,367,1777,2920,2042,1146,2736,923,4875,1533,7249
Australia,AUS,2005,5234,320,230,294,899,863,460,939,1132,1515,369,1828,2983,2108,1173,2739,981,4878,1545,7322
Australia,AUS,2006,5338,337,232,292,925,870,454,966,1147,1526,377,1797,3066,2187,1210,2762,1050,4939,1594,7461
Australia,AUS,2007,5516,350,235,294,943,884,459,987,1172,1536,384,1825,3143,2281,1245,2797,1115,5026,1647,7613
Australia,AUS,2008,5770,363,239,296,959,904,462,1022,1198,1555,392,1912,3215,2345,1289,2836,1183,5128,1745,7762
Australia,AUS,2009,5950,373,239,304,981,918,465,1050,1221,1563,396,1969,3277,2403,1316,2866,1256,5167,1789,7838
